user_id,brand,month,compras,compras_anteriores,compras_futuras
512375018,unknown,2019-10-01,2,0,1.0
512375019,xiaomi,2019-10-01,1,0,1.0
512375027,apple,2019-10-01,1,0,5.0
512375027,samsung,2019-10-01,4,0,5.0
512375041,apple,2019-10-01,1,0,1.0
512375076,apple,2019-10-01,2,0,2.0
512375076,samsung,2019-10-01,1,0,1.0
512375076,sony,2019-10-01,1,0,1.0
512375312,apple,2019-10-01,1,0,3.0
512375657,apple,2019-10-01,1,0,1.0
512375901,samsung,2019-10-01,1,0,4.0
512375946,xiaomi,2019-10-01,9,0,3.0
512376296,lenovo,2019-10-01,1,0,1.0
512376971,yokohama,2019-10-01,1,0,1.0
512377119,samsung,2019-10-01,3,0,4.0
512377238,unknown,2019-10-01,1,0,1.0
512377477,samsung,2019-10-01,2,0,2.0
512377679,apple,2019-10-01,7,0,2.0
512377790,dauscher,2019-10-01,3,0,1.0
512378015,samsung,2019-10-01,2,0,1.0
512378126,cordiant,2019-10-01,1,0,1.0
512378417,samsung,2019-10-01,3,0,7.0
512378735,samsung,2019-10-01,1,0,1.0
512378942,huawei,2019-10-01,1,0,1.0
512379118,epson,2019-10-01,3,0,1.0
512379450,samsung,2019-10-01,1,0,2.0
512379450,xiaomi,2019-10-01,1,0,1.0
512379865,apple,2019-10-01,4,0,1.0
512380035,apple,2019-10-01,3,0,1.0
512380070,apple,2019-10-01,1,0,1.0
512380084,apple,2019-10-01,1,0,2.0
512380275,apple,2019-10-01,5,0,2.0
512380379,apple,2019-10-01,1,0,1.0
512380379,samsung,2019-10-01,4,0,4.0
512380514,samsung,2019-10-01,1,0,1.0
512380592,samsung,2019-10-01,3,0,1.0
512380861,apple,2019-10-01,2,0,3.0
512381074,dior,2019-10-01,1,0,1.0
512381263,apple,2019-10-01,4,0,20.0
512381451,samsung,2019-10-01,3,0,2.0
512381544,unknown,2019-10-01,3,0,5.0
512381616,rieker,2019-10-01,2,0,1.0
512381690,apple,2019-10-01,1,0,1.0
512381914,apple,2019-10-01,9,0,18.0
512382141,apple,2019-10-01,3,0,1.0
512382536,apple,2019-10-01,24,0,13.0
512382720,samsung,2019-10-01,4,0,1.0
512382766,yamaha,2019-10-01,1,0,2.0
512382778,xiaomi,2019-10-01,4,0,2.0
512382878,artel,2019-10-01,1,0,1.0
512382879,elari,2019-10-01,4,0,6.0
512382879,huawei,2019-10-01,10,0,1.0
512382879,samsung,2019-10-01,39,0,21.0
512382879,xiaomi,2019-10-01,3,0,4.0
512382995,apple,2019-10-01,2,0,1.0
512382995,samsung,2019-10-01,1,0,1.0
512383222,apple,2019-10-01,2,0,3.0
512383224,unknown,2019-10-01,1,0,2.0
512383648,apple,2019-10-01,3,0,6.0
512383662,apple,2019-10-01,2,0,3.0
512383747,unknown,2019-10-01,4,0,3.0
512383817,unknown,2019-10-01,1,0,2.0
512384049,samsung,2019-10-01,4,0,6.0
512384207,apple,2019-10-01,1,0,1.0
512384284,nutrilon,2019-10-01,1,0,2.0
512384303,apple,2019-10-01,2,0,1.0
512384303,unknown,2019-10-01,1,0,1.0
512384358,apple,2019-10-01,5,0,3.0
512384358,samsung,2019-10-01,5,0,4.0
512384436,unknown,2019-10-01,1,0,2.0
512384549,samsung,2019-10-01,2,0,14.0
512384653,apple,2019-10-01,6,0,2.0
512384653,unknown,2019-10-01,1,0,1.0
512384661,xiaomi,2019-10-01,2,0,1.0
512384696,apple,2019-10-01,6,0,9.0
512384696,samsung,2019-10-01,19,0,1.0
512384831,alpine,2019-10-01,3,0,1.0
512385284,samsung,2019-10-01,1,0,1.0
512385558,apple,2019-10-01,1,0,1.0
512385832,apple,2019-10-01,4,0,4.0
512386019,xiaomi,2019-10-01,1,0,6.0
512386086,apple,2019-10-01,67,0,50.0
512386086,artel,2019-10-01,53,0,64.0
512386086,lenovo,2019-10-01,1,0,2.0
512386086,lg,2019-10-01,88,0,101.0
512386086,samsung,2019-10-01,110,0,46.0
512386210,samsung,2019-10-01,17,0,3.0
512386217,vitek,2019-10-01,1,0,1.0
512386327,samsung,2019-10-01,2,0,1.0
512386356,unknown,2019-10-01,2,0,1.0
512386548,apple,2019-10-01,14,0,1.0
512386548,continental,2019-10-01,7,0,3.0
512386548,delonghi,2019-10-01,1,0,8.0
512386623,apple,2019-10-01,2,0,5.0
512386676,triangle,2019-10-01,3,0,2.0
512386756,apple,2019-10-01,1,0,2.0
512386756,samsung,2019-10-01,10,0,3.0
512387383,indesit,2019-10-01,1,0,1.0
512387569,huawei,2019-10-01,1,0,1.0
512387840,unknown,2019-10-01,4,0,1.0
512387842,gamma,2019-10-01,1,0,1.0
512387881,apple,2019-10-01,1,0,1.0
512388180,unknown,2019-10-01,1,0,1.0
512388408,unknown,2019-10-01,1,0,1.0
512388533,lucente,2019-10-01,5,0,1.0
512388535,apple,2019-10-01,1,0,1.0
512388700,samsung,2019-10-01,1,0,2.0
512388920,huawei,2019-10-01,1,0,1.0
512388920,samsung,2019-10-01,1,0,6.0
512389015,apple,2019-10-01,1,0,1.0
512389045,acer,2019-10-01,15,0,3.0
512389045,samsung,2019-10-01,5,0,3.0
512389146,apple,2019-10-01,3,0,3.0
512389146,canyon,2019-10-01,2,0,1.0
512389195,apple,2019-10-01,3,0,2.0
512389317,apple,2019-10-01,2,0,8.0
512389330,lucente,2019-10-01,1,0,2.0
512389330,unknown,2019-10-01,4,0,1.0
512389344,samsung,2019-10-01,4,0,5.0
512389411,cordiant,2019-10-01,4,0,1.0
512389563,samsung,2019-10-01,2,0,2.0
512389601,apple,2019-10-01,17,0,3.0
512390049,apple,2019-10-01,4,0,1.0
512390159,xiaomi,2019-10-01,3,0,7.0
512390241,apple,2019-10-01,2,0,2.0
512390241,unknown,2019-10-01,1,0,1.0
512390381,apple,2019-10-01,4,0,3.0
512390383,apple,2019-10-01,2,0,2.0
512390755,unknown,2019-10-01,2,0,1.0
512390979,samsung,2019-10-01,1,0,3.0
512391306,samsung,2019-10-01,1,0,1.0
512391839,apple,2019-10-01,3,0,3.0
512392050,apple,2019-10-01,2,0,1.0
512392050,unknown,2019-10-01,3,0,3.0
512392304,oasis,2019-10-01,1,0,2.0
512392349,apple,2019-10-01,9,0,10.0
512392385,unknown,2019-10-01,1,0,1.0
512392441,nintendo,2019-10-01,10,0,1.0
512392493,remington,2019-10-01,1,0,3.0
512392571,xiaomi,2019-10-01,1,0,1.0
512392585,unknown,2019-10-01,1,0,1.0
512392611,apple,2019-10-01,1,0,8.0
512392611,samsung,2019-10-01,2,0,5.0
512392699,unknown,2019-10-01,1,0,1.0
512392780,apple,2019-10-01,1,0,1.0
512393077,unknown,2019-10-01,1,0,4.0
512393260,apple,2019-10-01,2,0,1.0
512393696,apple,2019-10-01,6,0,3.0
512393698,samsung,2019-10-01,1,0,1.0
512393742,belecoo,2019-10-01,8,0,1.0
512393868,samsung,2019-10-01,7,0,1.0
512393917,oppo,2019-10-01,2,0,1.0
512394015,samsung,2019-10-01,2,0,3.0
512394015,unknown,2019-10-01,1,0,1.0
512394136,apple,2019-10-01,1,0,1.0
512394139,unknown,2019-10-01,1,0,1.0
512394611,huggies,2019-10-01,1,0,2.0
512394627,samsung,2019-10-01,2,0,1.0
512394645,unknown,2019-10-01,1,0,1.0
512394729,cordiant,2019-10-01,1,0,3.0
512394748,unknown,2019-10-01,1,0,5.0
512394753,apple,2019-10-01,9,0,15.0
512394813,apple,2019-10-01,4,0,1.0
512394905,apple,2019-10-01,2,0,1.0
512395296,unknown,2019-10-01,1,0,1.0
512395368,samsung,2019-10-01,1,0,2.0
512395471,dji,2019-10-01,9,0,5.0
512395692,xiaomi,2019-10-01,1,0,1.0
512395946,samsung,2019-10-01,1,0,2.0
512396071,samsung,2019-10-01,5,0,2.0
512396110,samsung,2019-10-01,3,0,3.0
512396218,apple,2019-10-01,3,0,2.0
512396365,apple,2019-10-01,1,0,1.0
512396694,unknown,2019-10-01,5,0,4.0
512396712,apple,2019-10-01,7,0,3.0
512396738,xiaomi,2019-10-01,1,0,1.0
512396845,samsung,2019-10-01,1,0,3.0
512397198,hp,2019-10-01,2,0,1.0
512397411,apple,2019-10-01,6,0,3.0
512397411,artel,2019-10-01,3,0,2.0
512397411,samsung,2019-10-01,2,0,2.0
512397595,apple,2019-10-01,11,0,1.0
512398172,jvc,2019-10-01,1,0,1.0
512398172,pioneer,2019-10-01,1,0,1.0
512398245,apple,2019-10-01,1,0,9.0
512398332,unknown,2019-10-01,2,0,1.0
512398365,cordiant,2019-10-01,2,0,3.0
512398549,cordiant,2019-10-01,3,0,1.0
512398717,samsung,2019-10-01,1,0,2.0
512398866,samsung,2019-10-01,2,0,1.0
512398908,apple,2019-10-01,6,0,3.0
512398908,samsung,2019-10-01,1,0,11.0
512398908,voltman,2019-10-01,6,0,3.0
512399322,midea,2019-10-01,1,0,2.0
512399510,artmusical,2019-10-01,1,0,1.0
512399810,apple,2019-10-01,2,0,1.0
512399872,xiaomi,2019-10-01,1,0,2.0
512400333,samsung,2019-10-01,1,0,1.0
512400391,samsung,2019-10-01,1,0,1.0
512400497,xiaomi,2019-10-01,1,0,1.0
512400502,alcon,2019-10-01,1,0,1.0
512400576,apple,2019-10-01,1,0,5.0
